"coral_tag","host_species","expedition","health_status","max_colony_width"
"291","Pocillopora grandis","2016a","dead or gone",NA
"293","Montipora aequituberculata","2014","alive","25.102"
"293","Montipora aequituberculata","2016a","dead or gone",NA
"296","Pocillopora grandis","2014","alive","22.904"
"296","Pocillopora grandis","2016a","dead or gone",NA
"301","Pocillopora grandis","2014","alive","25.229"
"301","Pocillopora grandis","2016a","dead or gone",NA
"303","Pocillopora grandis","2014","alive","35.269"
"303","Pocillopora grandis","2016a","dead or gone",NA
"305","Pocillopora grandis","2014","alive","30.748"
"305","Pocillopora grandis","2016a","dead or gone",NA
"309","Pocillopora grandis","2014","alive","23.351"
"309","Pocillopora grandis","2016a","dead or gone",NA
"310","Montipora aequituberculata","2014","alive","19.058"
"310","Montipora aequituberculata","2016a","dead or gone",NA
"312","Pocillopora grandis","2014","alive","26.81"
"313","Montipora aequituberculata","2014","alive","53.739"
"316","Pocillopora grandis","2014","alive","28.393"
"319","Montipora aequituberculata","2014","alive","43.466"
"322","Pocillopora grandis","2014","alive","22.286"
"324","Montipora aequituberculata","2014","alive","59.884"
"324","Montipora aequituberculata","2015b","alive","18.188"
"324","Montipora aequituberculata","2015c","alive","28.48"
"324","Montipora aequituberculata","2016a","alive","10.466"
"324","Montipora aequituberculata","2016b","dead",NA
"326","Pocillopora grandis","2014","alive","46.21"
"329","Montipora aequituberculata","2014","alive","78.859"
"329","Montipora aequituberculata","2015b","alive","59.006"
"329","Montipora aequituberculata","2015c","alive","84.519"
"329","Montipora aequituberculata","2016a","dead",NA
"331","Pocillopora grandis","2014","alive","33.527"
"331","Pocillopora grandis","2015b","alive","30.454"
"331","Pocillopora grandis","2015c","alive","53.895"
"331","Pocillopora grandis","2016a","dead",NA
"336","Pocillopora grandis","2014","alive","24.122"
"336","Pocillopora grandis","2015b","alive","29.111"
"336","Pocillopora grandis","2015c","alive","54.716"
"336","Pocillopora grandis","2016a","dead or gone",NA
"337","Montipora aequituberculata","2014","alive","32.284"
"342","Montipora aequituberculata","2014","alive","72.026"
"345","Montipora aequituberculata","2014","alive","42.302"
"347","Pocillopora grandis","2014","alive","23.725"
"350","Montipora aequituberculata","2014","alive","41.808"
"355","Pocillopora grandis","2014","alive","25.828"
"355","Pocillopora grandis","2015b","alive","23.025"
"355","Pocillopora grandis","2015c","alive","27.516"
"356","Montipora aequituberculata","2014","alive","43.99"
"357","Montipora aequituberculata","2014","alive","37.799"
"357","Montipora aequituberculata","2015c","alive","33.144"
"357","Montipora aequituberculata","2016a","dead or gone",NA
"359","Pocillopora grandis","2014","alive","44.253"
"359","Pocillopora grandis","2015b","alive","39.849"
"359","Pocillopora grandis","2015c","alive","70.585"
"359","Pocillopora grandis","2016a","dead or gone",NA
"363","Montipora aequituberculata","2014","alive",NA
"363","Montipora aequituberculata","2015b","alive",NA
"363","Montipora aequituberculata","2015c","alive","20.18"
"363","Montipora aequituberculata","2016a","dead",NA
"365","Pocillopora grandis","2014","alive","26.59"
"365","Pocillopora grandis","2015c","alive","35.25"
"365","Pocillopora grandis","2016a","dead or gone",NA
"368","Montipora aequituberculata","2014","alive","51.942"
"372","Pocillopora grandis","2014","alive","36.485"
"375","Montipora aequituberculata","2014","alive","51.824"
"375","Montipora aequituberculata","2015c","alive","55.226"
"375","Montipora aequituberculata","2017","dead or gone",NA
"378","Pocillopora grandis","2014","alive","19.028"
"378","Pocillopora grandis","2015c","alive","20.242"
"378","Pocillopora grandis","2017","dead","NA"
"380","Montipora aequituberculata","2014","alive","38.989"
"380","Montipora aequituberculata","2015c","alive","27.995"
"384","Pocillopora grandis","2014","alive",NA
"385","Montipora aequituberculata","2014","alive",NA
"385","Montipora aequituberculata","2015a","alive","29.712"
"385","Montipora aequituberculata","2015b","alive","30.384"
"385","Montipora aequituberculata","2015c","alive","38.378"
"385","Montipora aequituberculata","2016a","dead",NA
"390","Montipora aequituberculata","2014","alive","62.048"
"390b","Montipora aequituberculata","2015c","alive","34.839"
"390b","Montipora aequituberculata","2017","dead",NA
"391","Pocillopora grandis","2014","alive","49.686"
"393","Pocillopora grandis","2014","alive",NA
"394","Montipora aequituberculata","2014","alive","51.955"
"394b","Montipora aequituberculata","2015c","alive","19.824"
"394b","Montipora aequituberculata","2017","dead",NA
"397","Pocillopora grandis","2014","alive","44.789"
"397","Pocillopora grandis","2015c","alive","22.271"
"399","Montipora aequituberculata","2014","alive","53.948"
"399","Montipora aequituberculata","2015c","alive","21.757"
"399","Montipora aequituberculata","2017","dead",NA
"403","Montipora aequituberculata","2014","alive","82.536"
"405","Pocillopora grandis","2014","alive","NA"
"405","Pocillopora grandis","2015c","alive","22.544"
"405","Pocillopora grandis","2017","dead","NA"
