"library_ID","Clade","Profile","Count","Count_sum","Count_freq","fastq_fwd_file_name","fastq_rev_file_name","host_genus","host_species","coral_tag","site_name","sequencing_run","expedition","sample_name","sra_accession","pub.name","lat","lon","level","continous.pressure.2km","expedition_class"
"KI14FSYM494_S273_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",12441,15105,0.823634558093347,"KI14FSYM494_S273_L001_R1_001.fastq.gz","KI14FSYM494_S273_L001_R2_001.fastq.gz","Pocillopora","grandis","494",32,"run5","2014","KI14_494","SAMN49903959","VH2",1.984,-157.482,5,4860.745702,"1_before"
"KI14FSYM494_S273_L001","D","D1/D1as-D1ax-D4-D1at-D6-D1au-D1aw-D1av",2664,15105,0.176365441906653,"KI14FSYM494_S273_L001_R1_001.fastq.gz","KI14FSYM494_S273_L001_R2_001.fastq.gz","Pocillopora","grandis","494",32,"run5","2014","KI14_494","SAMN49903959","VH2",1.984,-157.482,5,4860.745702,"1_before"
"69-KI23b_S350_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",12692,18135,0.699862145023435,"69-KI23b_S350_L001_R1_001.fastq.gz","69-KI23b_S350_L001_R2_001.fastq.gz","Pocillopora","grandis","1515",30,"run10_shedd2024","2023b","KI23b_69","SAMN49904290","VH3",2.02572,-157.498,5,5085.684783,"4_longafter"
"69-KI23b_S350_L001","D","D1/D1as-D1ax-D4-D1at-D6-D1au-D1aw-D1av",5443,18135,0.300137854976565,"69-KI23b_S350_L001_R1_001.fastq.gz","69-KI23b_S350_L001_R2_001.fastq.gz","Pocillopora","grandis","1515",30,"run10_shedd2024","2023b","KI23b_69","SAMN49904290","VH3",2.02572,-157.498,5,5085.684783,"4_longafter"
"447-KI23b_S197_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",4755,7167,0.663457513604018,"447-KI23b_S197_L001_R1_001.fastq.gz","447-KI23b_S197_L001_R2_001.fastq.gz","Pocillopora","grandis","1837",19,"run10_shedd2024","2023b","KI23b_447","SAMN49904258","VL2",1.80255,-157.27339,1,0,"4_longafter"
"447-KI23b_S197_L001","D","D1/D1as-D1ax-D4-D1at-D6-D1au-D1aw-D1av",2412,7167,0.336542486395982,"447-KI23b_S197_L001_R1_001.fastq.gz","447-KI23b_S197_L001_R2_001.fastq.gz","Pocillopora","grandis","1837",19,"run10_shedd2024","2023b","KI23b_447","SAMN49904258","VL2",1.80255,-157.27339,1,0,"4_longafter"
"307_S306_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",15520,22863,0.678826050824476,"307_S306_L001_R1_001.fastq.gz","307_S306_L001_R2_001.fastq.gz","Pocillopora","grandis","477b",27,"run2","2015b","KI15b_137","SAMN49903747","VH1",2.00973,-157.48941,5,7276,"1_before"
"307_S306_L001","D","D1/D1as-D1ax-D4-D1at-D6-D1au-D1aw-D1av",7343,22863,0.321173949175524,"307_S306_L001_R1_001.fastq.gz","307_S306_L001_R2_001.fastq.gz","Pocillopora","grandis","477b",27,"run2","2015b","KI15b_137","SAMN49903747","VH1",2.00973,-157.48941,5,7276,"1_before"
"295_S294_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",14194,21097,0.672797080153576,"295_S294_L001_R1_001.fastq.gz","295_S294_L001_R2_001.fastq.gz","Pocillopora","grandis","436",30,"run2","2015b","KI15b_64","SAMN49903760","VH3",2.02572,-157.498,5,5085.684783,"1_before"
"295_S294_L001","D","D1/D1as-D1ax-D4-D1at-D6-D1au-D1aw-D1av",6903,21097,0.327202919846424,"295_S294_L001_R1_001.fastq.gz","295_S294_L001_R2_001.fastq.gz","Pocillopora","grandis","436",30,"run2","2015b","KI15b_64","SAMN49903760","VH3",2.02572,-157.498,5,5085.684783,"1_before"
